ITEM,P176x,PORT,BIT,FUNC1,FUNC2,FUNC3,SIGNAL,FUNC,IN/OUT,MODE,OD,DEF,ACT
124,N/A,3,27,N/A,N/A,N/A,,,,,,,
125,N/A,3,28,N/A,N/A,N/A,,,,,,,
126,N/A,3,29,N/A,N/A,N/A,,,,,,,
127,N/A,3,30,N/A,N/A,N/A,,,,,,,
128,N/A,3,31,N/A,N/A,N/A,,,,,,,
129,N/A,4,0,N/A,N/A,N/A,,,,,,,
130,N/A,4,1,N/A,N/A,N/A,,,,,,,
131,N/A,4,2,N/A,N/A,N/A,,,,,,,
132,N/A,4,3,N/A,N/A,N/A,,,,,,,
133,N/A,4,4,N/A,N/A,N/A,,,,,,,
134,N/A,4,5,N/A,N/A,N/A,,,,,,,
135,N/A,4,6,N/A,N/A,N/A,,,,,,,
136,N/A,4,7,N/A,N/A,N/A,,,,,,,
137,N/A,4,8,N/A,N/A,N/A,,,,,,,
138,N/A,4,9,N/A,N/A,N/A,,,,,,,
139,N/A,4,10,N/A,N/A,N/A,,,,,,,
140,N/A,4,11,N/A,N/A,N/A,,,,,,,
141,N/A,4,12,N/A,N/A,N/A,,,,,,,
142,N/A,4,13,N/A,N/A,N/A,,,,,,,
143,N/A,4,14,N/A,N/A,N/A,,,,,,,
144,N/A,4,15,N/A,N/A,N/A,,,,,,,
145,N/A,4,16,N/A,N/A,N/A,,,,,,,
146,N/A,4,17,N/A,N/A,N/A,,,,,,,
147,N/A,4,18,N/A,N/A,N/A,,,,,,,
148,N/A,4,19,N/A,N/A,N/A,,,,,,,
149,N/A,4,20,N/A,N/A,N/A,,,,,,,
150,N/A,4,21,N/A,N/A,N/A,,,,,,,
151,N/A,4,22,N/A,N/A,N/A,,,,,,,
152,N/A,4,23,N/A,N/A,N/A,,,,,,,
153,N/A,4,24,N/A,N/A,N/A,,,,,,,
154,N/A,4,25,N/A,N/A,N/A,,,,,,,
155,N/A,4,26,N/A,N/A,N/A,,,,,,,
156,N/A,4,27,N/A,N/A,N/A,,,,,,,
157,82,4,28,N/A,MAT2.0,TXD3,MATCH2P0,2,0,,,,
158,85,4,29,N/A,MAT2.1,RXD3,MATCH2P1,2,0,,,,
159,N/A,4,30,N/A,N/A,N/A,,,,,,,
160,N/A,4,31,N/A,N/A,N/A,,,,,,,
161,1,99,0,TDO,,,,,,,,,
162,2,99,1,TDI,,,,,,,,,
163,3,99,2,TMS,,,,,,,,,
164,4,99,3,TRST,,,,,,,,,
165,5,99,4,TCK,,,,,,,,,
166,100,99,5,RTCK,,,,,,,,,
167,14,99,6,RSTOUT,,,,,,,,,
168,17,99,7,EXTRST,,,,,,,,,
169,22,99,8,OSCIN,,,,,,,,,
170,23,99,9,OSCOUT,,,,,,,,,
171,16,99,10,XOSCIN,,,,,,,,,
172,18,99,11,XOSCOUT,,,,,,,,,
173,31,99,12,GND,,,,,,,,,
174,41,99,13,GND,,,,,,,,,
175,55,99,14,GND,,,,,,,,,
176,72,99,15,GND,,,,,,,,,
177,83,99,16,GND,,,,,,,,,
178,97,99,17,GND,,,,,,,,,
179,11,99,18,AGND,,,,,,,,,
180,28,99,19,V3P3,,,,,,,,,
181,54,99,20,V3P3,,,,,,,,,
182,71,99,21,V3P3,,,,,,,,,
183,96,99,22,V3P3,,,,,,,,,
184,N/A,99,23,V3P3DCC,,,,,,,,,
185,42,99,24,V3P3DCC,,,,,,,,,
186,84,99,25,V3P3DCC,,,,,,,,,
187,10,99,26,VA3P3,,,,,,,,,
188,12,99,27,VREF,,,,,,,,,
189,15,99,28,GND,,,,,,,,,
190,19,99,29,VBAT,,,,,,,,,
END,,,,,,,,,,,,,
